Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
141,Backend Engineer,0,0,1,1,0,1,1,1,0,0,0,0,Objective-C,4,4,4,0,1,0,0,0,Objective-C Foundation
142,iOS Developer,1,0,1,1,0,1,1,1,0,2,0,2,Javascript,4,3,5,0,1,0,0,0,
143,Frontend Engineer,0,0,1,0,0,0,1,1,1,0,0,2,Javascript,3,3,1,1,0,0,1,0,Sencha Touch / jQuery Mobile
145,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,5,1,0,0,0,1,0,PhoneGap / Apache Cordova
146,Frontend Engineer,1,0,0,0,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
147,Frontend Engineer,1,0,1,1,0,1,1,1,1,1,1,1,Javascript,5,4,5,0,1,0,0,1,Objective-C Foundation
149,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,1,1,0,0,0,0,
150,Backend Engineer,1,0,1,0,0,0,1,0,0,2,0,1,Javascript,3,3,2,0,1,0,0,0,
151,,0,0,1,0,0,1,1,1,1,0,1,1,Javascript,2,1,2,0,0,0,0,0,
152,Frontend Engineer,1,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,4,2,0,1,0,0,0,Objective-C Foundation
153,,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,3,3,3,1,0,0,0,0,Sencha Touch / jQuery Mobile
154,Backend Engineer,1,0,1,0,0,1,0,1,1,1,1,1,Javascript,5,1,,1,0,0,0,0,PhoneGap / Apache Cordova
155,Frontend Engineer,1,0,1,1,1,1,1,1,0,2,0,0,Javascript,5,3,2,0,1,0,0,0,Sencha Touch / jQuery Mobile
156,Frontend Engineer,1,1,1,0,0,1,1,1,1,1,1,0,Javascript,5,5,4,0,0,0,0,0,PhoneGap / Apache Cordova
157,OS X Developer,1,1,1,1,1,1,1,1,0,0,0,2,Objective-C,4,5,5,0,1,0,0,0,Objective-C Foundation
158,Backend Engineer,0,0,1,0,0,1,1,1,1,2,1,1,Javascript,5,5,3,0,0,1,1,1,Appcelerator Titanium
159,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
160,Frontend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,1,0,0,0,1,0,PhoneGap / Apache Cordova
161,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,0,2,Javascript,4,3,1,0,0,0,0,0,
162,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,4,1,1,0,0,0,0,PhoneGap / Apache Cordova
163,,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,,,,0,0,0,0,0,
164,Backend Engineer,0,1,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,2,1,0,0,0,0,
165,Backend Engineer,1,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,5,2,0,1,0,1,1,Sencha Touch / jQuery Mobile
